ci,x0_0,x0_1,lambda_1,lambda_2,lmax,status
1,0.8617175638,0.9635732066,0.4265929435,-1.630565748,0.4265929435,chaotic
2,0.9249079838,0.9013370411,0.4150191866,-1.618991991,0.4150191866,chaotic
3,0.8230874999,0.823083236,0.4221636071,-1.626136411,0.4221636071,chaotic
4,0.8057746187,0.9486286137,0.4112801299,-1.615252934,0.4112801299,chaotic
5,0.9017713042,0.9206791829,0.4286981413,-1.632670946,0.4286981413,chaotic
6,0.7991455527,0.9669665808,0.4289164182,-1.632889223,0.4289164182,chaotic
7,0.9426652298,0.8330437906,0.407000976,-1.61097378,0.407000976,chaotic
8,0.8276495231,0.8279287535,0.4339288228,-1.637901627,0.4339288228,chaotic
9,0.8492903578,0.8882726914,0.4188172569,-1.622790061,0.4188172569,chaotic
10,0.8718655591,0.8469899112,0.4070627539,-1.611035558,0.4070627539,chaotic
11,0.9036695392,0.8201662617,0.4195552763,-1.623528081,0.4195552763,chaotic
12,0.847151754,0.8602718143,0.4149782252,-1.61895103,0.4149782252,chaotic
13,0.8761303525,0.9343094615,0.4259746393,-1.629947444,0.4259746393,chaotic
14,0.8308048233,0.8864126213,0.4214289599,-1.625401764,0.4214289599,chaotic
15,0.9002332464,0.8037181104,0.410967258,-1.614940062,0.410967258,chaotic
16,0.9029079666,0.8256517684,0.4130437628,-1.617016567,0.4130437628,chaotic
17,0.8070064132,0.9632499181,0.4152613355,-1.61923414,0.4152613355,chaotic
18,0.9662103512,0.9384145209,0.3998622913,-1.603835096,0.3998622913,chaotic
19,0.8493560359,0.8127730445,0.4252471149,-1.629219919,0.4252471149,chaotic
20,0.9164648448,0.8733164704,0.4180190295,-1.621991834,0.4180190295,chaotic

# mean_exponents,0.4181909065,-1.622163711
# mean_lmax,0.4181909065
# max_lmax,0.4339288228
# n_chaotic,20
# n_stable,0
